Barrio,Zona,Fuente
Nueva Roma,"ZONA 3, ZONA 8",Actividades
Ciudadela Santa Rosa,"ZONA 5, ZONA 7",Actividades
San Isidro I Y Ii,"ZONA 5, ZONA 7",Actividades
San Isidro I Y Ii,ZONA 1,Actividades
San Blas,ZONA 6,Actividades
Ciudadela Santa Rosa,ZONA 7,Actividades
Las Brisas,"ZONA 1, ZONA 2",Actividades
San Martin De Loba I Y Ii,"ZONA 1, ZONA 2",Actividades
La Castana,ZONA 2,Actividades
Bello Horizonte,"ZONA 1, ZONA 2",Actividades
La Sagrada Familia,ZONA 4,Actividades
La Roca,ZONA 2,Actividades
Altamira,ZONA 7,Actividades
San Martin De Loba I Y Ii,ZONA 2,Actividades
Cerros De San Vicente,ZONA 8,Actividades
San Isidro I Y Ii,ZONA 7,Actividades
Moralva,ZONA 8,Actividades
Altamira,ZONA 4,Actividades
San Isidro I Y Ii,"ZONA 3, ZONA 8",Actividades
Los Laureles Sur Oriental I Sector,"ZONA 1, ZONA 2",Actividades
Bosque De Los Alpes,ZONA 8,Actividades
San Martin De Loba I Y Ii,"ZONA 3, ZONA 8",Actividades
Camino Viejo San Cristobal,ZONA 4,Actividades
Balcon De La Castana,ZONA 4,Actividades
Los Alpes,ZONA 4,Actividades
San Isidro I Y Ii,"ZONA 1, ZONA 2",Actividades
San Martin De Loba I Y Ii,ZONA 1,Actividades
San Isidro I Y Ii,ZONA 4,Actividades
Los Laureles Sur Oriental I Sector,"ZONA 5, ZONA 7",Actividades
