linea_id;ID_Actividad;Linea_Estrategica;Tipo_Linea
250;13709C34589CC192;Distritos Seguros, Seguridad Inteligente, Datos Para La Seguridad, Cooperación Ciudadana, Seguridad Regional, Lucha Contra El Crimen, Ciudadanías Seguras, Bienestar Y Reconocimiento, Urbanismo Para La Seguridad;Seguridad
251;42DA585AFED3F8E6;Distritos Seguros, Control Urbano, Ciudadanías Seguras;Seguridad
252;FAD6B1362B72FC18;Distritos Seguros, Control Urbano, Ciudadanías Seguras;Seguridad
253;76B9960A6648140F;Transporte Seguro;Seguridad
254;C55F296426E28AE1;N/A;Seguridad
255;C01321BA6D0D65AB;Distritos Seguros, Control Urbano;Seguridad
256;10BB61EE52859F1C;Distritos Seguros, Transporte Seguro, Ciudadanías Seguras;Seguridad
257;9633EE1C368A27C0;N/A;Seguridad
258;2E424408AD9B7BD0;Distritos Seguros, Control Urbano;Seguridad
259;637DC25F5AC84CFB;Control Urbano, Lucha Contra El Cibercrimen, Ciudadanías Seguras;Seguridad
260;F82681F2F7171D6D;Distritos Seguros, Cooperación Ciudadana, Gestión De La Seguridad En Aglomeraciones, Ciudadanías Seguras;Seguridad
261;412DF24A7BB03618;N/A;Seguridad
262;7A6B1A2129DD5F9C;Distritos Seguros, Seguridad Inteligente, Datos Para La Seguridad, Cooperación Ciudadana;Seguridad
263;7134A1F458C6A3C0;Distritos Seguros, Control Urbano, Seguridad Inteligente, Transporte Seguro;Seguridad
264;A886E011066D1769;Distritos Seguros, Seguridad Inteligente, Lucha Contra El Cibercrimen;Seguridad
265;A25059D1A2796BBD;Distritos Seguros, Ciudadanías Seguras;Seguridad
266;580BC84DC608D91A;Distritos Seguros;Seguridad
267;40D7FE1DB9FCD567;Distritos Seguros;Seguridad
268;FDA01687C084C741;Seguridad Inteligente;Seguridad
269;01FF9A8C3919F8B1;Control Urbano, Transporte Seguro, Ciudadanías Seguras;Seguridad
270;A8B7CDE19D5E0CD1;Control Urbano, Transporte Seguro, Ciudadanías Seguras;Seguridad
271;B1C08135CF176A2D;N/A;Seguridad
272;B43E4BF1191FB70A;N/A;Seguridad
273;FF31837D9340DCF2;N/A;Seguridad
274;67DEA311C9CE8E32;Distritos Seguros, Control Urbano;Seguridad
275;127A911C45C0DC0E;Cooperación Ciudadana;Seguridad
276;79FAFF8944C1881C;Transporte Seguro;Seguridad
277;A4BC0E8E7D8A3CF5;Cooperación Ciudadana;Seguridad
278;6387B445B310EE9F;Cooperación Ciudadana;Seguridad
279;2234FB10E994E14B;Control Urbano, Seguridad Inteligente, Datos Para La Seguridad;Seguridad
280;E7C6C05F97751DC1;N/A;Seguridad
281;AF9326217CB61F97;Control Urbano, Ciudadanías Seguras;Seguridad
282;40990FEE375D2880;Distritos Seguros, Control Urbano, Lucha Contra El Crimen;Seguridad
283;E19457A636292346;Lucha Contra El Cibercrimen, Ciudadanías Seguras;Seguridad
284;1207FE4BC8081900;Control Urbano, Ciudadanías Seguras;Seguridad
285;71432D2AF00B5536;Distritos Seguros, Seguridad Inteligente, Ciudadanías Seguras;Seguridad
286;0CA06B725092112D;N/A;Seguridad
287;361FF6256D09A9FB;Control Urbano, Transporte Seguro, Lucha Contra El Crimen, Ciudadanías Seguras;Seguridad
288;00266C3F21F1C789;N/A;Seguridad
289;60D57405556E4029;N/A;Seguridad
290;7D08F3E6A9C29AAF;Control Urbano, Transporte Seguro;Seguridad
291;C185047A41601E1A;N/A;Seguridad
292;E16DD345B5C0EBB4;N/A;Seguridad
293;63FF38989B507477;Control Urbano, Seguridad Inteligente, Cooperación Ciudadana, Ciudadanías Seguras;Seguridad
294;E79D660C99B266FB;N/A;Seguridad
295;0AD3DB81F10C938A;N/A;Seguridad
296;2CE8ABFDA8E17BA4;N/A;Seguridad
