Fila,UPZ_Original,Zona_Original,Zona_Correcta,Error
448,50 - LA GLORIA,Zona 5,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
449,50 - LA GLORIA,Zona 4,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
450,50 - LA GLORIA,Zona 4,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
453,50 - LA GLORIA,Zona 4,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
454,32 - SAN BLAS,Zona 5,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
457,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
461,34 - 20 DE JULIO,Zona 3,Zona 4,CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
465,34 - 20 DE JULIO,Zona 6,Zona 4,CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
497,51 - LOS LIBERTADORES,Zona 2,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
503,34 - 20 DE JULIO,Zona 3,Zona 4,CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
505,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
508,50 - LA GLORIA,Zona 5,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
509,33 - SOSIEGO,Zona 3,Zona 6,CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
529,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
540,33 - SOSIEGO,Zona 4,Zona 6,CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
543,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
545,32 - SAN BLAS,Zona 6,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
